id,class,part_no,details,battery_id,visible_parts
1011,BMS module,9,,1,busbar+busbar+busbar+busbar+busbar+busbar+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+disconnect unit+module+module+module+wire harness+module+module+module+module+module+module+module+module
1012,module,1,,1,module+module+disconnect unit+module+module+service disconnect+module+module+module+module+module+module+wire harness+module+module+module+module+module+module+module+module+busbar+busbar+busbar+busbar+busbar+busbar+busbar+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+BMS module
1013,module,2,,1,module+disconnect unit+module+module+service disconnect+module+module+module+module+module+module+wire harness+module+module+module+module+module+module+module+module+busbar+busbar+busbar+busbar+busbar+busbar+busbar+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+BMS module
1014,module,3,,1,disconnect unit+module+module+service disconnect+module+module+module+module+module+module+wire harness+module+module+module+module+module+module+module+module+busbar+busbar+busbar+busbar+busbar+busbar+busbar+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+BMS module
1015,module,4,,1,disconnect unit+module+service disconnect+module+module+module+module+module+module+wire harness+module+module+module+module+module+module+module+module+busbar+busbar+busbar+busbar+busbar+busbar+busbar+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+BMS module
1016,module,5,,1,disconnect unit+service disconnect+module+module+module+module+module+module+wire harness+module+module+module+module+module+module+module+module+busbar+busbar+busbar+busbar+busbar+busbar+busbar+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+BMS module
1017,module,6,,1,disconnect unit+service disconnect+module+module+module+module+module+wire harness+module+module+module+module+module+module+module+module+busbar+busbar+busbar+busbar+busbar+busbar+busbar+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+BMS module
1018,module,7,,1,disconnect unit+service disconnect+module+module+module+module+wire harness+module+module+module+module+module+module+module+module+busbar+busbar+busbar+busbar+busbar+busbar+busbar+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+BMS module
1019,module,8,,1,disconnect unit+module+module+module+wire harness+module+module+module+module+module+module+module+module+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap
1020,module,9,,1,disconnect unit+module+module+wire harness+module+module+module+module+module+module+module+module+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap
1021,module,10,,1,disconnect unit+module+wire harness+module+module+module+module+module+module+module+module+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap
1022,module,11,,1,disconnect unit+wire harness+module+module+module+module+module+module+module+module+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap
1023,module,12,,1,disconnect unit+wire harness+module+module+module+module+module+module+module+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap
1024,module,13,,1,disconnect unit+wire harness+module+module+module+module+module+module+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap
1025,module,14,,1,disconnect unit+wire harness+module+module+module+module+module+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap
1026,module,15,,1,disconnect unit+wire harness+module+module+module+module+housing bottom+module frame+module frame
1027,module,16,,1,disconnect unit+wire harness+module+module+module+housing bottom+module frame+module frame
